Date,Line,Species,bacteria_label,Temp,Well_Endpoint,FC
10_04_2022,HNO918,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,24,0.9466666666666665
10_04_2022,HNO918,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,48,1.0116618075801749
10_04_2022,HNO918,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,37,24,0.9636963696369637
10_04_2022,HNO918,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,37,48,7.272988505747126
10_04_2022,HNO918,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,24,0.8765060240963856
10_04_2022,HNO918,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,48,0.972809667673716
10_04_2022,HNO918,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,37,24,0.9147540983606557
10_04_2022,HNO918,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,37,48,1.2089552238805972
10_04_2022,HNO918,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,34,48,1.2942857142857143
10_04_2022,HNO918,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,37,48,1.4824561403508771
10_11_2022,HNO204,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,24,0.8867469879518072
10_11_2022,HNO204,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,48,13.7467018469657
10_11_2022,HNO204,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,37,24,1.1236559139784947
10_11_2022,HNO204,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,37,48,1.9615384615384615
10_11_2022,HNO204,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,24,1.0336134453781514
10_11_2022,HNO204,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,48,1.2047872340425532
10_11_2022,HNO204,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,37,24,1.1067415730337078
10_11_2022,HNO204,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,37,48,1.6141975308641976
10_11_2022,HNO204,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,34,48,1.3798701298701297
10_11_2022,HNO204,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,37,48,1.2881844380403458
10_25_2022,HNO204,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,24,1.106007067137809
10_25_2022,HNO204,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,48,1.689102564102564
10_25_2022,HNO204,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,37,24,4.2441176470588236
10_25_2022,HNO204,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,37,48,12.642857142857142
10_25_2022,HNO204,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,34,48,1.6053333333333333
10_25_2022,HNO204,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,37,48,1.732193732193732
11_01_2022,HNO919,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,24,1.0901960784313725
11_01_2022,HNO919,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,48,1.262172284644195
11_01_2022,HNO919,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,37,24,1.2454212454212454
11_01_2022,HNO919,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,37,48,1.7596899224806202
11_01_2022,HNO919,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,34,48,1.3215686274509804
11_01_2022,HNO919,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,37,48,2.4734848484848486
11_02_2022,HNO919,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,24,0.8513119533527697
11_02_2022,HNO919,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,37,24,0.8964577656675748
11_02_2022,HNO919,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,37,48,1.8522727272727273
11_02_2022,HNO919,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,34,48,1.099706744868035
11_02_2022,HNO919,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,37,48,2.117283950617284
